Team_ID,Team_Name
1,Argentina 7s
2,American Samoa 7s
3,Australia 7s
4,Belgium 7s
5,Brazil 7s
6,Canada 7s
7,England 7s
8,Fiji 7s
9,France 7s
10,Hong Kong
11,Japan 7s
12,Kenya 7s
13,New Zealand 7s
14,Papua New Guinea
15,Portugal 7s
16,South Africa 7s
17,Russia 7s
18,Samoa 7s
19,Scotland 7s
20,USA 7s
21,Wales 7s
22,Zimbabwe
